"PitcherId","Pitcher"
"1000112692","Ball, Connor"
"1000120926","Ulsh, Mason"
"1000121806","Interdonato, Reed"
"10114473","McAliney, Daniel"
"1000305030","Benzinger, Derek"
"811686","Leckszas, Kai"
"1000348264","Hale, Charlie"
"806141","LeGuernic, Justin"
"10072101","Brown, Luke"
"1000029024","Cox, Tyler"
"1000337212","Cole, Jackson"
"822710","Schlageter, TJ"
"695498","Blake, Drew"
"1000354709","Tolis, Emmett"
"1000115013","Vohra, Jafar"
"1000156254","Fox, Spencer"
"1000351679","Pazdera, Clint"
"809248","Walker, Adam"
"1000353163","O'Donnell, Aidan"
"1000264274","Fedeli, Chad"
"1000136567","Lauria, Matthew"
"10025059","Jensen, Mikey"
"822650","Gunther, Josh"
"1000269965","Bangs, Stephen"
"1000136202","Finn, Sean"
"1000348963","Guidas, Nick"
"805530","Oschell, Charlie"
"1000307666","Torres, Chris"
"1000246567","Narayanan, Naaveen"
"10312140","Falter, Nick"
"823755","Chieffalo, Dominic"
"1000139830","Moss, Max"
"1000268600","Timpanelli, Nick"
"808831","Carrea, Joe"
"10019662","Van Buren, Ryan"
"10066575","Bean, Jacob"
"1000339344","Galaz, Jacob"
"1000258490","Mach, Alex"
"10022960","Lavoie, Kenneth"
"1000338777","Foster, Max"
"801965","Kelsey, Carter"
"811688","Lorenzetti, Michael"
"1000337305","Harris, Connor"
"1000298955","Haug, Max"
"813394","Shenosky, Ben"
"10120828","Colagrande, Aidan"
"1000297446","Toriello, Connor"
"1000352878","Clark, Brady"
"692153","Grabmann, Matthew"
"1000115287","Marot, Jordan"
"1000133997","Sahler, Cian"
"814821","Dean, Mitchell"
"1000051639","Noriega, Gavin"
"1000349010","Tabet, Matthew"
"10148594","Renner, Carson"
"809594","Wentworth, Jack"
"822484","Levesque, Trystan"
"822648","Kramkowski, Owen"
"1000250692","Hamberger, Evan"
"1000100091","Ey, Brooks"
"1000236438","Alexander, Brad"
"1000338759","Terwilliger, Dylan"
"809064","Wywoda, Jaden"
"824180","Vidal, Andre"
"809596","Dowlen, Colin"
"1000328860","Flaherty, Tommy"
"1000310631","Burke, Colin"
"1000352879","Meehan, Harry"
"10317571","Friedman, Pierce"
"811675","Greeley, JD"
"803404","Steele, Anthony"
"1000233707","Fox, Owen"
"1000216275","Spada, Matthew"
"1000353485","Liriano, Robert "
"10273790","Peterson, Jonathan"
"1000259699","Cardenas, Aidan "
"10268168","Sabbath, Joseph"
"1000276755","Dodder, Griffin "
"1000139632","Fidanza, Christopher"
"1000352883","Greene, Aidan"
"822523","Stewart, Braxton"
"10025171","Goldberg, Thomas"
"823761","Haas, Peter"
"1000337279","Posnik, Justin"
"1000116126","Bello, Jack"
"1000258644","Pauley, Truman"
"821888","Volo, Jack"
"10109669","Mascott, Cole"
"10317333","Balcom, Nicholas"
"1000164504","Berg, Andrew"
"10284855","Tarsia, Hayden"
"1000224354","Landwehr, JT"
"1000337283","White, Landon"
"806200","Raidt, James"
"1000181455","Arnold, Zeph"
"822522","Starke, Ty"
"1000220727","O'Dell, John """"Casey"""""
"807292","Bevis, Logan"
"1000115586","Deliyannis, Harry"
"1000228956","Cleary, Cole"
"801301","Beauchesne, Jack"
"808746","Swistak, Turner"
"1000140294","Crider, Nate"
"1000264506","Voli, Joseph"
"1000150578","Hooks, Blake"
"822586","Lessman, Jared"
"804850","Gaspard, Jackson"
"1000263839","Cedrone, Marc"
"1000230356","Kabel, Jack"
"1000337204","Flint, Harper"
"1000342777","Jackson-Murphy, Geordan"
"1000156439","Hall, Dane"
"10088601","Francis, Jake"
"806201","Randall, Cal"
"1000311177","Johnson, Axel"
"10073965","Cangelosi, Jack"
"1000352086","Zenger, Jacob"
"1000268617","Tuttoilmondo, Joey"
"1000251274","Olsovsky, Dalton"
"1000352882","Vonhorn, Derek"
"821734","Olivo, Cam"
"1000331075","Tully, John"
"802612","Krupp, Aidan"
"806031","Beruvides, Freddy"
"1000091621","Schuyler, TJ"
"1000340842","Puglisi, Nolan"
"1000337209","Perron Jr, Daniel"
"1000242927","Urena, Jeremy"
"1000077150","Vanesko, Jackson"
"10070155","McHugh, Ryan"
"1000132039","Driscoll, Dan"
"1000337459","Eshleman, Jack"
"1000098402","Bradley, Ryan"
"10132481","Ramnarace, Randy"
"1000092299","Johnson, Andrew"
"10290678","Gibbons, Marko"
"1000350290","Keefe, Anthony"
"1000127212","Young, Jacob"
"1000350289","Houghton, Andrew"
"1000320517","Denomme, Charles"
"10065188","Logie, Dawson"
"1000188439","Pingeton, Anthony"
"10103497","Greene, Aidan"
"10019826","Vonhorn, Derek"
"801304","Jones, Will"
"1000253048","Wootton, Matthew"
"10138563","Alekson, Ben"
"10033018","Pavone, Dante"
"1000239961","Varner, Jaden"
"1000264276","Leak, Anthony"
"813612","Wilson, Harrison"
"1000209240","Shaw, Gregory"
"1000337321","Laird, Zachary"
"1000320517","Denomme, Charlie"
"10032103","Lyke, Ethan"
"1000333763","West, Charles"
"1000221052","Kent, Tommy"
"822757","Duke, Tanner"
"1000338337","Alduino, Matthew"
"814216","Cordova, Deegan"
"1000231181","Sibley, Joshua"
"1000233714","Kutz, Charlie"
"822354","Shaw, Hunter"
"1000115586","Deliyanis, Harry"
"1000142523","Gervase, Will "
"10283381","Manarchuck, Jerome"
"1000120985","Capell, Mark"
"10109407","Butash, Mason"
"1000111406","Conradt, Jonah"
"10148115","Morano, Joshua"
"1000187787","Cook, Jake"
"1000097819","Lacy, Peyton"
"1000338338","Jones, Andrew"
"1000090271","Butler, Rob"
"1000139059","Florio, Trace"
"1000338777","Foster, Matt"
"1000337295","Furey, CJ"
"10075625","Turner, Tommy"
"822041","Pruett, Brad"
"1000350289","Houghton, Andrew "
"822466","Seeker, Scott"
"1000121783","Hacker, John"
"806256","Waid, Ty"
"701601","Case, David"
"10028004","Gleason, Zach"
"822724","Ramos, Sachem"
"10108270","Foster, Max"
"1000114720","Ciccone, Frank"
"1000126690","Jaun, William"
"1000072778","Mattioli, Christopher"
"1000337455","Carozza, Kyle"
"1000149780","Trisch, Colton"
"1000268918","Carlson, Hayden"
"811693","Muscar, Tyler"
"1000301567","Payamps, Andrelys"
"1000076015","Schiff, Cole"
"1000297446","Torrielo, Connor"
"1000143154","Holcombe, Colby"
"1000143029","Burke, Mac"
"1000342776","Zhang, Martin"
"1000259834","McKinstry, Tyler"
"1000250746","Caldon, Michael"
"1000129078","Brown, Matt"
"1000126649","Shockley, Jason"
"1000119720","Carmack, Kyler"
"694921","Conte, Nick"
"1000276333","Tuttoilmondo, Giuseppe"
"1000190946","Tross, Owen"
